#csv_version,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#measurement,"{""schema_version"":""1.0.0"",""appPlatform"":""desktop"",""appVersion"":""1.5.0"",""owner"":{""first_name"":""Travis"",""last_name"":""Nilest""},""data"":{""id"":8749,""name"":""PureLeaf_SweetTea_1"",""measurement_type"":""take a smell"",""started_at"":""2023-03-31T14:03:12.084Z"",""stopped_at"":""2023-03-31T14:03:53.860Z"",""connection_type"":""usb"",""measurement_size"":""10"",""measurement_duration"":41,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:bd:36:79:14"",""serial_number"":""SI2205-1474"",""board_id"":null,""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1"",""is_contain_sensor_board"":false},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""board_info"":null,""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""batch_id"":""0000018"",""slot_id"":""10"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""batch_id"":""0000019"",""slot_id"":""01"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""batch_id"":""0000020"",""slot_id"":""08"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""batch_id"":""0000021"",""slot_id"":""01"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":1805,""category"":""Food and Beverage"",""is_public"":false,""name"":""Tea"",""odor_name"":null,""taste_name"":null,""additional_information"":null,""parent_substance_id"":43,""parent_substance"":{""id"":43,""category"":""Vegetable"",""is_public"":true,""name"":""tea leaves"",""odor_name"":null,""taste_name"":null,""additional_information"":null}},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[],""measurement_setup_info"":{""id"":337,""name"":""Conference Room"",""is_public"":false,""description"":""71 fahrenheit (on thermostat)"",""indoor_outdoor"":""indoor""}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fan_level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baseLevel|2023-03-31T14:03:13.184Z,29172.3,29171.8,2035.4,2035.1,2035.2,1313.1,1312.8,1312.7,8870.8,8869.2,8870.0,1710.0,1710.0,1711.0,4796.5,4796.5,117441.6,117502.8,18011.3,17994.5,17990.2,2974.3,2970.9,2969.1,1500.6,1500.3,1500.3,2616.8,2617.1,2617.3,16666.4,16671.8,25281.7,25278.9,4277.6,4277.8,4278.0,2381.7,2380.4,2381.0,5482.3,5480.9,5481.3,2701.0,2700.5,2700.7,83100.0,83118.2,5621.3,5621.9,1726.0,1725.1,1725.3,4873.5,4872.7,4873.4,1478.9,1478.1,1478.0,1742.1,1741.5,1742.0,5142.4,5142.0,35.259998,29.150000
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2023-03-31T14:03:13.184Z,29172.3,29171.8,2035.4,2035.1,2035.2,1313.1,1312.8,1312.7,8870.8,8869.2,8870.0,1710.0,1710.0,1711.0,4796.5,4796.5,117441.6,117502.8,18011.3,17994.5,17990.2,2974.3,2970.9,2969.1,1500.6,1500.3,1500.3,2616.8,2617.1,2617.3,16666.4,16671.8,25281.7,25278.9,4277.6,4277.8,4278.0,2381.7,2380.4,2381.0,5482.3,5480.9,5481.3,2701.0,2700.5,2700.7,83100.0,83118.2,5621.3,5621.9,1726.0,1725.1,1725.3,4873.5,4872.7,4873.4,1478.9,1478.1,1478.0,1742.1,1741.5,1742.0,5142.4,5142.0,35.259998,29.150000
2023-03-31T14:03:15.627Z,29171.3,29167.6,2034.8,2034.1,2034.3,1312.1,1312.0,1311.8,8868.8,8870.4,8872.7,1708.8,1709.0,1709.7,4794.7,4794.9,117468.9,117485.6,18006.9,18000.0,18009.7,2975.2,2972.6,2970.2,1488.3,1488.1,1488.3,2616.1,2615.7,2615.9,16665.0,16662.1,25270.4,25280.9,4269.3,4269.2,4269.1,2382.0,2381.0,2380.9,5479.5,5477.5,5477.0,2695.4,2695.1,2695.2,83156.8,83151.0,5621.0,5621.3,1725.5,1724.6,1724.5,4874.5,4874.5,4875.2,1479.2,1478.8,1478.7,1742.6,1742.3,1743.3,5141.9,5142.5,36.590000,29.150000
2023-03-31T14:03:18.072Z,29177.4,29180.0,2034.6,2034.0,2034.7,1312.1,1311.5,1311.9,8871.5,8872.5,8871.9,1709.5,1709.1,1709.6,4794.4,4794.5,117479.9,117473.2,18026.7,18019.7,18022.6,2975.5,2972.9,2970.5,1488.2,1487.8,1488.0,2615.2,2615.2,2614.8,16668.2,16660.0,25283.8,25289.9,4265.5,4264.4,4265.7,2382.1,2381.3,2381.5,5473.3,5472.3,5471.5,2692.3,2691.3,2691.3,83161.7,83212.4,5620.4,5620.8,1725.6,1724.4,1724.4,4873.7,4873.7,4874.4,1478.9,1478.4,1478.3,1742.1,1741.9,1743.1,5143.6,5141.7,37.680000,29.150000
2023-03-31T14:03:20.526Z,29148.7,29157.3,2032.6,2031.9,2032.3,1310.8,1310.2,1310.1,8870.2,8870.1,8870.2,1706.8,1706.7,1707.8,4792.5,4792.4,117518.8,117570.6,18020.2,18009.8,18003.2,2977.5,2973.6,2971.4,1487.9,1487.7,1487.8,2615.0,2614.7,2615.7,16664.8,16667.4,25291.3,25277.8,4259.3,4260.0,4260.3,2382.8,2381.7,2381.8,5469.6,5468.7,5469.4,2687.5,2687.4,2687.4,83191.2,83153.5,5620.4,5619.0,1723.4,1722.5,1722.4,4872.4,4872.7,4874.4,1479.0,1478.5,1478.4,1743.2,1743.3,1743.7,5143.5,5142.0,38.450001,29.170000
2023-03-31T14:03:22.960Z,29160.4,29162.2,2032.6,2032.4,2032.3,1310.3,1309.7,1309.8,8877.4,8875.1,8877.5,1707.1,1706.4,1706.9,4792.3,4792.0,117448.9,117371.1,18023.8,18012.2,18009.6,2977.9,2974.0,2972.4,1488.4,1488.3,1488.3,2614.8,2615.3,2615.7,16661.2,16664.3,25266.0,25261.1,4258.8,4258.3,4259.0,2382.5,2381.6,2382.2,5468.3,5466.6,5466.3,2685.0,2684.7,2685.3,83242.2,83211.4,5620.2,5619.8,1723.3,1722.4,1722.1,4876.2,4876.3,4876.9,1479.4,1479.3,1479.2,1743.3,1742.9,1743.5,5144.3,5143.9,39.730000,29.150000
2023-03-31T14:03:25.356Z,29148.2,29156.6,2033.3,2032.7,2032.9,1310.2,1309.5,1309.5,8879.3,8880.2,8880.4,1706.8,1706.9,1707.5,4791.7,4791.4,117448.2,117447.9,18029.6,18021.1,18019.5,2978.7,2975.8,2973.6,1487.3,1487.2,1487.3,2613.4,2613.7,2613.9,16667.3,16667.8,25286.5,25299.4,4253.4,4253.8,4254.8,2383.0,2382.3,2382.8,5467.4,5467.1,5468.0,2682.1,2682.1,2682.8,83243.1,83239.8,5618.6,5619.1,1722.4,1721.5,1721.5,4875.6,4874.6,4875.7,1480.2,1479.8,1479.8,1743.2,1743.1,1744.0,5143.1,5144.2,40.610001,29.160000
2023-03-31T14:03:27.752Z,29169.3,29170.4,2033.9,2034.0,2034.0,1310.6,1310.0,1309.9,8889.2,8889.0,8888.7,1707.9,1708.7,1709.0,4793.0,4792.6,117393.5,117536.5,18026.6,18025.9,18016.4,2978.7,2975.3,2973.1,1501.2,1500.9,1501.0,2616.1,2615.5,2615.8,16667.3,16661.3,25264.6,25256.8,4262.5,4262.0,4262.5,2383.6,2382.6,2382.7,5472.0,5469.9,5469.3,2686.1,2685.5,2685.2,83270.2,83284.9,5621.8,5619.0,1723.9,1722.7,1722.9,4880.5,4880.5,4881.3,1480.9,1480.1,1480.3,1744.2,1744.3,1744.1,5145.6,5144.6,41.540001,29.150000
2023-03-31T14:03:30.150Z,29180.9,29185.2,2034.7,2034.1,2034.7,1311.7,1311.1,1311.0,8890.1,8890.5,8889.7,1709.5,1709.1,1709.8,4792.9,4792.8,117437.3,117467.5,18026.6,18016.8,18003.5,2979.1,2975.2,2973.7,1500.6,1500.4,1500.4,2614.1,2613.3,2614.1,16667.2,16665.8,25265.0,25261.4,4255.7,4255.8,4256.0,2383.9,2382.4,2383.0,5464.0,5460.9,5461.5,2680.1,2680.1,2680.7,83277.8,83259.9,5621.0,5621.4,1724.0,1722.8,1722.5,4882.9,4882.6,4882.7,1481.1,1480.6,1480.5,1744.7,1744.2,1744.6,5144.8,5145.2,41.439999,29.150000
2023-03-31T14:03:32.544Z,29187.3,29190.9,2035.3,2035.4,2035.7,1312.0,1311.6,1311.5,8892.2,8890.7,8890.4,1709.5,1709.9,1709.9,4792.8,4792.6,117499.2,117447.4,18029.3,18013.4,18016.1,2978.8,2975.9,2973.9,1500.9,1500.7,1500.8,2613.8,2613.8,2614.3,16670.0,16669.2,25272.2,25283.6,4254.7,4254.7,4255.2,2384.0,2382.9,2383.2,5465.4,5464.4,5463.6,2680.0,2679.3,2680.0,83218.5,83289.4,5621.0,5621.1,1724.3,1723.0,1723.2,4881.0,4881.2,4881.4,1481.0,1480.3,1480.6,1744.1,1743.9,1744.4,5147.6,5146.8,41.279999,29.160000
2023-03-31T14:03:34.970Z,29183.2,29180.2,2034.6,2034.1,2034.1,1311.5,1310.8,1310.7,8887.8,8887.5,8888.4,1707.9,1708.6,1708.6,4791.3,4791.2,117557.9,117546.5,18018.5,18019.1,18022.4,2980.5,2977.9,2975.2,1501.4,1501.1,1501.2,2615.3,2614.3,2615.4,16668.8,16669.5,25305.9,25303.6,4256.9,4256.9,4258.0,2385.2,2384.2,2384.2,5473.0,5471.0,5471.3,2681.8,2681.6,2681.8,83361.7,83335.8,5620.8,5619.1,1722.6,1721.2,1721.3,4877.2,4877.1,4877.1,1480.3,1479.7,1479.4,1744.1,1744.0,1743.9,5145.5,5146.3,41.070000,29.170000
