#csv_version,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#measurement,"{""schema_version"":""1.0.0"",""appPlatform"":""desktop"",""appVersion"":""1.5.0"",""owner"":{""first_name"":""Travis"",""last_name"":""Nilest""},""data"":{""id"":8788,""name"":""Dasani_Water_Cold_1"",""measurement_type"":""take a smell"",""started_at"":""2023-03-31T19:50:52.058Z"",""stopped_at"":""2023-03-31T19:54:10.337Z"",""connection_type"":""usb"",""measurement_size"":""43"",""measurement_duration"":198,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:bd:36:79:14"",""serial_number"":""SI2205-1474"",""board_id"":null,""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1"",""is_contain_sensor_board"":false},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""board_info"":null,""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""batch_id"":""0000018"",""slot_id"":""10"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""batch_id"":""0000019"",""slot_id"":""01"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""batch_id"":""0000020"",""slot_id"":""08"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""batch_id"":""0000021"",""slot_id"":""01"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":1826,""category"":""Food and Beverage"",""is_public"":false,""name"":""Water"",""odor_name"":null,""taste_name"":null,""additional_information"":null,""parent_substance_id"":null,""parent_substance"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[],""measurement_setup_info"":{""id"":337,""name"":""Conference Room"",""is_public"":false,""description"":""71 fahrenheit (on thermostat)"",""indoor_outdoor"":""indoor""}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fan_level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baseLevel|2023-03-31T19:50:53.688Z,26160.2,26165.5,1796.6,1796.0,1796.2,1140.1,1139.8,1139.9,7666.4,7665.8,7666.2,1486.1,1486.6,1486.9,4358.5,4358.6,113471.6,113397.4,16479.5,16473.6,16469.4,2818.8,2816.0,2814.4,1345.7,1345.6,1345.7,2338.7,2338.6,2339.6,15326.8,15325.9,22526.9,22529.1,3814.6,3814.4,3814.7,2238.4,2237.3,2237.2,4677.4,4678.3,4677.4,2402.4,2401.9,2402.6,79112.1,79118.9,5266.3,5267.5,1584.3,1583.2,1583.0,4153.7,4153.8,4154.4,1318.7,1318.1,1318.3,1650.2,1649.7,1650.3,4625.8,4625.0,35.230000,26.879999
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2023-03-31T19:50:53.688Z,26160.2,26165.5,1796.6,1796.0,1796.2,1140.1,1139.8,1139.9,7666.4,7665.8,7666.2,1486.1,1486.6,1486.9,4358.5,4358.6,113471.6,113397.4,16479.5,16473.6,16469.4,2818.8,2816.0,2814.4,1345.7,1345.6,1345.7,2338.7,2338.6,2339.6,15326.8,15325.9,22526.9,22529.1,3814.6,3814.4,3814.7,2238.4,2237.3,2237.2,4677.4,4678.3,4677.4,2402.4,2401.9,2402.6,79112.1,79118.9,5266.3,5267.5,1584.3,1583.2,1583.0,4153.7,4153.8,4154.4,1318.7,1318.1,1318.3,1650.2,1649.7,1650.3,4625.8,4625.0,35.230000,26.879999
2023-03-31T19:50:56.133Z,26158.5,26158.5,1796.4,1795.9,1796.2,1139.6,1139.0,1139.3,7666.1,7664.5,7665.1,1486.0,1486.3,1486.8,4357.3,4357.0,113435.6,113520.9,16468.2,16466.2,16462.7,2819.3,2816.8,2815.2,1345.5,1345.4,1345.5,2337.8,2337.6,2338.2,15323.3,15321.8,22517.3,22520.2,3812.6,3811.8,3811.4,2239.0,2237.8,2238.3,4679.3,4677.2,4678.3,2402.1,2401.6,2402.3,79110.9,79097.0,5266.8,5267.6,1584.4,1583.7,1583.8,4153.3,4153.4,4154.1,1318.8,1318.4,1318.5,1649.9,1649.9,1650.3,4626.7,4626.4,36.730000,26.910000
2023-03-31T19:50:58.605Z,26165.1,26164.7,1795.5,1795.1,1795.3,1139.7,1139.5,1139.7,7666.1,7665.5,7665.8,1487.0,1487.2,1487.4,4357.0,4356.7,113368.7,113383.9,16483.0,16480.3,16482.5,2820.3,2817.9,2816.4,1346.0,1345.7,1345.8,2338.3,2338.5,2338.6,15322.3,15322.0,22501.4,22500.7,3812.4,3812.2,3812.7,2239.2,2238.5,2238.5,4677.9,4677.2,4677.0,2401.9,2402.2,2402.3,79036.0,79018.8,5265.4,5265.8,1585.1,1584.3,1584.3,4153.0,4153.4,4154.5,1319.4,1318.9,1319.0,1650.3,1650.3,1651.5,4625.7,4625.1,37.500000,26.900000
2023-03-31T19:51:01.021Z,26163.0,26163.0,1795.6,1795.1,1795.6,1140.5,1140.3,1140.5,7667.4,7667.1,7667.6,1488.1,1488.2,1488.8,4356.3,4356.0,113426.4,113376.8,16478.6,16475.5,16469.8,2821.1,2818.1,2816.9,1346.2,1345.9,1346.0,2339.3,2339.4,2339.3,15322.7,15321.9,22507.7,22509.4,3813.3,3813.5,3813.3,2240.0,2238.8,2238.9,4679.3,4677.4,4676.3,2402.4,2401.7,2401.9,79078.8,79071.5,5264.6,5263.7,1584.7,1583.7,1583.7,4150.1,4149.7,4150.7,1318.9,1318.3,1318.9,1651.3,1650.9,1651.3,4628.1,4628.3,37.680000,26.900000
2023-03-31T19:51:03.449Z,26160.9,26162.8,1794.5,1794.0,1794.1,1140.3,1140.1,1140.0,7663.5,7663.5,7664.0,1486.3,1487.1,1487.0,4355.7,4355.5,113357.7,113379.4,16485.6,16480.9,16485.6,2821.9,2819.5,2818.2,1346.6,1346.3,1346.5,2339.4,2339.5,2339.5,15326.3,15328.8,22511.6,22510.7,3813.0,3812.8,3813.4,2240.7,2240.1,2240.9,4682.4,4682.0,4681.4,2404.0,2404.0,2403.8,79128.9,79135.6,5264.5,5264.3,1586.5,1585.7,1585.7,4154.0,4153.6,4154.6,1320.4,1319.9,1319.8,1652.4,1652.1,1653.1,4626.8,4626.8,37.849998,26.930000
2023-03-31T19:51:05.845Z,26186.7,26190.5,1795.7,1795.1,1795.3,1141.4,1141.3,1141.4,7668.4,7669.0,7668.8,1488.2,1488.6,1500.3,4356.4,4356.3,113409.5,113449.9,16488.8,16483.3,16486.0,2822.4,2819.9,2818.7,1347.0,1346.8,1346.9,2340.0,2339.9,2340.5,15321.3,15327.7,22520.4,22518.4,3814.9,3814.5,3815.0,2242.3,2241.1,2241.1,4686.5,4684.8,4684.8,2406.2,2406.0,2406.4,79159.4,79180.1,5265.4,5266.0,1588.7,1587.8,1587.7,4154.1,4154.3,4154.3,1320.1,1319.7,1319.9,1652.7,1652.2,1652.9,4629.3,4629.7,38.130001,26.900000
2023-03-31T19:51:08.250Z,26186.3,26188.6,1795.8,1795.3,1795.6,1142.4,1142.2,1142.2,7668.8,7669.2,7668.2,1500.4,1500.6,1501.3,4355.9,4356.0,113525.6,113491.0,16488.6,16483.2,16483.6,2822.8,2820.0,2818.6,1347.0,1346.7,1346.8,2339.4,2339.4,2339.8,15327.9,15324.1,22514.9,22516.0,3814.4,3814.9,3815.7,2242.1,2240.8,2240.8,4685.7,4684.4,4683.8,2406.1,2406.1,2406.0,79156.1,79126.0,5265.6,5264.3,1588.7,1587.8,1587.9,4154.9,4153.9,4154.8,1320.9,1320.3,1320.0,1653.5,1653.4,1653.5,4629.6,4627.3,37.520000,26.910000
2023-03-31T19:51:10.637Z,26191.5,26195.3,1795.9,1795.5,1795.2,1143.1,1142.9,1143.0,7668.3,7667.5,7669.1,1501.2,1500.9,1501.6,4355.9,4355.8,113384.7,113396.6,16501.9,16488.1,16491.7,2823.2,2820.4,2819.1,1347.5,1347.3,1347.4,2340.3,2340.3,2340.9,15324.7,15324.8,22522.1,22529.8,3816.8,3817.0,3816.8,2243.1,2242.1,2242.2,4687.4,4687.0,4686.8,2408.1,2408.4,2408.7,79127.2,79112.4,5265.0,5266.4,1590.4,1589.3,1589.1,4155.3,4155.2,4155.1,1320.4,1320.1,1319.8,1653.4,1653.1,1652.9,4628.4,4629.6,37.130001,26.910000
2023-03-31T19:51:13.057Z,26205.5,26205.8,1796.0,1795.7,1795.8,1144.0,1143.6,1143.8,7669.4,7668.5,7669.2,1501.9,1502.0,1502.3,4355.9,4355.6,113405.8,113470.4,16496.8,16491.9,16490.2,2822.9,2820.4,2818.8,1347.6,1347.4,1347.5,2340.9,2340.9,2341.4,15326.9,15324.4,22529.7,22531.3,3818.8,3817.8,3819.2,2242.7,2241.9,2242.2,4687.3,4687.1,4686.6,2409.5,2409.6,2409.9,79093.5,79111.0,5263.3,5263.6,1590.7,1589.7,1589.3,4154.9,4155.1,4155.7,1321.3,1320.3,1320.3,1652.9,1652.9,1653.0,4629.6,4629.3,36.849998,26.910000
2023-03-31T19:51:15.429Z,26193.2,26192.1,1796.3,1795.5,1795.8,1144.5,1144.0,1144.1,7669.2,7669.2,7669.0,1501.9,1502.2,1502.3,4355.4,4355.1,113462.0,113501.5,16514.6,16496.6,16507.0,2823.8,2820.8,2819.4,1348.1,1348.0,1347.9,2340.9,2341.3,2341.4,15329.3,15328.0,22531.3,22527.5,3821.0,3821.6,3820.6,2243.8,2243.0,2243.0,4690.7,4690.2,4689.5,2410.6,2410.4,2410.6,79222.6,79198.2,5265.4,5265.2,1591.0,1590.2,1590.3,4155.7,4156.0,4156.3,1321.2,1320.6,1320.7,1653.8,1654.0,1654.7,4629.4,4629.4,36.490002,26.910000
